(63,85)
(64,84)
(65,83)
(66,83)
(67,83)
(68,83)
(69,83)
(70,83)
(71,83)
(72,83)
(73,83)
(74,83)
(75,83)
(76,83)
(77,83)
(78,82)
(78,81)
(78,80)
(78,79)
(78,78)
(78,77)
(77,76)
(76,75)
(75,74)
(74,73)
(73,72)
(72,71)
(71,70)
(70,69)
(69,69)
(68,69)
(67,69)
(66,68)
(66,67)
(66,66)
(66,65)
(66,64)
(66,63)
(66,62)
(66,61)
(66,60)
(66,59)
(66,58)
(66,57)
(66,56)
(66,55)
(66,54)
(66,53)
(66,52)
(66,51)
(67,50)
(67,49)
(67,48)
(67,47)
(67,46)
(67,45)
(67,44)
(67,43)
(67,42)
(67,41)
(67,40)
(67,39)
(67,38)
(67,37)
(67,36)
(67,35)
(67,34)
(67,33)
(67,32)
(67,31)
(67,30)
(67,29)
(67,28)
(66,27)
(65,26)
(64,25)
(63,24)
(62,23)
(62,22)
(63,21)
(64,21)
(65,21)
(66,21)
(67,21)
(68,21)
(69,21)
(70,21)
(71,21)
(72,20)
(73,20)
